梯度++,梯度-+,梯度+-,梯度--,卡方统计量,把握,列,名称
15.750708,35.252125,16.951841,32.045326,13.8340814736355,99.9,142,NYSE.AIZ
16.950201,33.075575,19.6412,30.333024,30.69689218668,99.9,143,NYSE.AJG
20.671467,28.734092,23.593436,27.001005,27.7902281520082,99.9,144,NYSE.ALB
20.806074,27.72797,24.303368,27.162588,23.6686167988396,99.9,145,NYSE.ALK
19.833114,29.740887,22.599912,27.826087,26.9658893331131,99.9,146,NYSE.ALL
17.816443,32.203907,19.607245,30.372405,13.6886354099323,99.9,147,NYSE.ALLE
18.337833,30.813729,21.403779,29.444659,24.7796239879236,99.9,148,NYSE.AME
17.158612,32.857606,19.00746,30.976322,13.8687811973124,99.9,149,NYSE.AMG
20.409699,28.82107,23.503344,27.265886,28.3996370203881,99.9,150,NYSE.AMP
22.034035,29.381402,23.332527,25.252036,33.3971291739255,99.9,151,NYSE.AMT
19.84271,29.632991,21.808832,28.715467,9.54626620656092,99.5,152,NYSE.AN
21.687921,29.160913,23.872959,25.278206,43.4571834715691,99.9,153,NYSE.ANTM
20.044543,29.737194,22.280624,27.937639,19.3497973492644,99.9,154,NYSE.AON
21.381737,28.018551,23.740605,26.859108,16.6885549753429,99.9,155,NYSE.APA
21.17666,27.778226,22.879509,28.165604,3.07555096873419,90,156,NYSE.APC
20.568162,30.105784,23.076267,26.249787,45.7008989806485,99.9,157,NYSE.APD
19.14611,31.859583,20.948767,28.045541,29.8848624362965,99.9,158,NYSE.APH
17.970757,33.965619,19.106896,28.956728,28.745167790023,99.9,159,NYSE.ARE
19.322426,30.588654,20.985239,29.103681,11.8332628418396,99.9,160,NYSE.ARNC
18.93073,31.985123,21.67364,27.410507,54.2311526796971,99.9,161,NYSE.AVB
17.886097,32.759484,18.826944,30.527475,8.60955783947366,99.5,162,NYSE.AVY
18.837548,30.789522,21.921048,28.451883,35.1777373612562,99.9,163,NYSE.AWK
22.523565,27.782371,22.564908,27.129155,0.491584638226316,50,164,NYSE.AXP
18.968292,30.989115,20.880265,29.162328,15.5458749779095,99.9,165,NYSE.AYI
18.231065,31.990545,20.466857,29.311534,24.8029702533368,99.9,166,NYSE.AZO
23.133925,26.916249,24.932459,25.017368,17.6999453241461,99.9,167,NYSE.BA
19.369101,29.801888,24.266644,26.562367,83.3361190816128,99.9,168,NYSE.BAC
20.102455,31.187069,22.010246,26.70023,41.6571563465747,99.9,169,NYSE.BAX
20.864598,28.683492,22.36528,28.08663,5.88805331426256,97.5,170,NYSE.BBT
22.275588,27.914872,22.648228,27.161312,1.44314517399948,75,171,NYSE.BBY
16.384237,34.29259,21.237341,28.085832,122.221474349661,99.9,172,NYSE.BCR
21.138738,29.521341,24.362193,24.977727,72.8274755987756,99.9,173,NYSE.BDX
19.70633,29.572925,21.720834,28.99991,9.24844592265365,99.5,174,NYSE.BEN
17.739166,31.811294,19.335286,31.114254,6.7668731400953,99,175,NYSE.BF.B
20.75523,28.905189,23.145884,27.193697,13.0892483352929,99.9,176,NYSE.BHI
20.88739,28.766649,22.158796,28.187165,4.47014954786229,95,177,NYSE.BK
18.487239,31.990719,21.735499,27.786543,59.1454973118737,99.9,178,NYSE.BLK
18.184405,31.616392,21.276798,28.922406,38.0184326650877,99.9,179,NYSE.BLL
21.859132,28.460278,23.472563,26.208026,17.8435988816496,99.9,180,NYSE.BMY
23.096208,26.660921,23.589784,26.653087,0.365047403635575,0,181,NYSE.BRK.B
16.113837,33.248283,21.8842,28.75368,120.855582725523,99.9,182,NYSE.BSX
21.494102,28.912189,21.721276,27.872433,1.56002853715735,75,183,NYSE.BWA
17.753108,31.530506,20.44786,30.268526,20.5904720345308,99.9,184,NYSE.BXP
23.220705,27.110792,23.244668,26.423836,0.554839187490909,50,185,NYSE.C
17.694928,32.257759,20.7324,29.314913,40.2280268627689,99.9,186,NYSE.CAG
20.137591,29.352811,22.855444,27.654153,24.9681937896446,99.9,187,NYSE.CAH
23.226616,26.796924,23.367859,26.6086,0.136370205432981,0,188,NYSE.CAT
21.086449,29.255674,23.589786,26.068091,38.260224749255,99.9,189,NYSE.CB
19.929941,29.498525,20.759587,29.811947,0.597414660200239,50,190,NYSE.CBG
20.623541,28.759587,22.982661,27.634211,16.1809911649551,99.9,191,NYSE.CBS
21.517433,29.497463,23.489933,25.495171,41.1339432745936,99.9,192,NYSE.CCI
21.309815,28.382142,22.634822,27.673221,5.34661082371856,97.5,193,NYSE.CCL
20.484506,29.369971,22.13662,28.008903,11.1539547614608,99.9,194,NYSE.CF
20.98871,28.250086,22.690729,28.070476,5.11252708985013,97.5,195,NYSE.CFG
18.443997,30.449363,20.599789,30.506851,7.31988114707657,99,196,NYSE.CHD
14.659634,35.340366,23.16879,26.83121,309.344558000311,99.9,197,NYSE.CHK
21.661967,28.893681,24.622657,24.821695,58.5754181659025,99.9,198,NYSE.CI
20.191404,29.428352,22.507049,27.873195,18.9607369951131,99.9,199,NYSE.CL
19.419155,30.353241,21.449381,28.778223,15.4586910639982,99.9,200,NYSE.CLX
20.784606,28.647259,22.916148,27.651986,13.1017889225226,99.9,201,NYSE.CMA
21.05392,29.137776,23.460315,26.347989,32.9632281074372,99.9,202,NYSE.CMG
21.452568,28.515438,23.94017,26.091825,30.4861686671273,99.9,203,NYSE.CMI
18.6644,31.396996,20.647964,29.290639,18.3198541994806,99.9,204,NYSE.CMS
21.116403,28.662154,22.954792,27.26665,13.1095142665835,99.9,205,NYSE.CNC
16.035156,33.398438,21.689453,28.876953,119.099737182076,99.9,206,NYSE.CNP
21.690849,27.916025,23.336305,27.056821,8.31294900881547,99.5,207,NYSE.COF
20.122424,29.373222,22.182947,28.321407,12.6859684180538,99.9,208,NYSE.COG
20.094017,29.247863,23.068376,27.589744,27.6183152584624,99.9,209,NYSE.COH
20.924453,29.199801,23.094765,26.780981,25.4599312799077,99.9,210,NYSE.COL
16.470588,34.445701,18.235294,30.848416,22.4907287950064,99.9,211,NYSE.COO
21.774518,28.326215,23.071964,26.827303,9.66247281708499,99.5,212,NYSE.COP
15.973181,32.784461,21.228555,30.013804,81.4817818994041,99.9,213,NYSE.COTY
18.926237,30.616246,20.989729,29.467787,12.8801906853372,99.9,214,NYSE.CPB
22.189922,28.399548,23.667636,25.742894,20.3218860934392,99.9,215,NYSE.CRM
15.605202,34.667111,18.828498,30.899189,46.3624921497314,99.9,216,NYSE.CSRA
18.907273,29.877628,23.871079,27.344019,73.0438766889249,99.9,217,NYSE.CTL
22.237348,27.898783,24.255285,25.608584,23.0864981078038,99.9,218,NYSE.CVS
23.638353,26.076424,23.25545,27.029773,2.17385682827375,85,219,NYSE.CVX
20.69076,28.656142,24.232711,26.420386,44.0531314746355,99.9,220,NYSE.CXO
21.447925,29.34801,21.981372,27.222693,7.21282055494164,99,221,NYSE.D
21.819509,27.316955,23.522257,27.341279,4.21019002547377,95,222,NYSE.DAL
21.691633,28.213192,22.593727,27.501448,3.27519738984357,90,223,NYSE.DD
22.556029,27.761266,24.06619,25.616515,16.317141777274,99.9,224,NYSE.DE
20.964905,28.687495,22.279923,28.067677,5.00553412665203,95,225,NYSE.DFS
22.125194,27.870726,23.235126,26.768955,6.04991492058454,97.5,226,NYSE.DG
20.112349,30.214569,21.014826,28.658256,6.15405270551258,97.5,227,NYSE.DGX
20.301083,30.064266,21.885729,27.748922,16.6884959625649,99.9,228,NYSE.DHI
20.931427,28.773221,21.693348,28.602003,1.24302378543851,60,229,NYSE.DHR
22.47191,27.436449,23.738943,26.352697,7.05756185172359,99,230,NYSE.DIS
21.474173,28.09054,23.331399,27.103889,10.4989009869,99.5,231,NYSE.DLPH
20.03377,30.299705,23.351625,26.314901,62.7517856622857,99.9,232,NYSE.DLR
20.112734,29.327867,22.461355,28.098044,16.7908671711982,99.9,233,NYSE.DOV
21.1895,28.28548,23.215751,27.30927,12.0176696894289,99.9,234,NYSE.DOW
19.837732,29.386591,22.334165,28.441512,15.6117986831073,99.9,235,NYSE.DPS
21.037241,28.949858,22.232734,27.780167,6.64373967784201,99,236,NYSE.DRI
18.290366,32.202623,21.393035,28.113976,56.3878795950995,99.9,237,NYSE.DTE
21.344005,28.881107,22.427881,27.347007,7.99625421800767,99.5,238,NYSE.DUK
20.473908,29.978701,21.547746,27.999645,9.7815290864492,99.5,239,NYSE.DVA
21.29955,28.230486,22.7217,27.748263,5.04902028696909,97.5,240,NYSE.DVN
20.998091,29.71548,21.916189,27.370239,10.5216625768793,99.5,241,NYSE.DXC
19.580668,30.126155,22.325871,27.967306,28.8861704264948,99.9,242,NYSE.ECL
20.034783,29.886957,21.791304,28.286957,13.515706875744,99.9,243,NYSE.ED
17.691762,32.597021,18.765832,30.945385,7.03067220781142,99,244,NYSE.EFX
19.299469,29.94685,23.246493,27.507188,51.3187091608729,99.9,245,NYSE.EIX
21.114394,29.658084,22.777543,26.449979,26.3710851437538,99.9,246,NYSE.EL
19.776087,29.895915,22.058952,28.269046,18.9535413302314,99.9,247,NYSE.EMN
21.53242,27.891043,22.869318,27.707219,3.29939687330862,90,248,NYSE.EMR
22.139615,27.390828,23.814368,26.655189,7.95227786817617,99.5,249,NYSE.EOG
18.6704,31.876073,21.840845,27.612682,59.9811716097756,99.9,250,NYSE.EQR
22.024245,27.947278,22.886665,27.141811,3.47901839491799,90,251,NYSE.EQT
19.047179,31.031299,21.29074,28.630782,23.9499836278171,99.9,252,NYSE.ES
15.720474,34.712722,18.661651,30.905153,40.795715335889,99.9,253,NYSE.ESS
21.778989,28.080608,23.191278,26.949125,8.09173696677145,99.5,254,NYSE.ETN
18.947273,31.789816,21.045492,28.217419,33.2916390844248,99.9,255,NYSE.ETR
19.375279,29.522535,21.892012,29.210174,11.945241885845,99.9,256,NYSE.EVHC
20.961315,28.972273,22.937075,27.129338,17.9832703063004,99.9,257,NYSE.EW
18.175229,31.992389,21.880946,27.951436,67.7804447535732,99.9,258,NYSE.EXC
19.333875,31.26636,21.572344,27.827421,34.151487638244,99.9,259,NYSE.EXR
12.932362,36.580109,25.813404,24.674125,641.829049658419,99.9,260,NYSE.F
18.188004,32.030718,20.054438,29.72684,18.0154442994023,99.9,261,NYSE.FBHS
19.848236,31.376851,21.40245,27.372463,29.7108545170479,99.9,262,NYSE.FCX
21.990778,28.343139,24.582605,25.083479,42.597829325807,99.9,263,NYSE.FDX
18.935236,31.073911,21.194658,28.796195,23.3794377360215,99.9,264,NYSE.FE
19.928984,30.146471,21.935198,27.989348,19.8212462410585,99.9,265,NYSE.FIS
20.890975,28.194993,22.949605,27.964427,7.79855551370633,99,266,NYSE.FL
19.099131,30.377727,22.353254,28.169888,36.9697351454126,99.9,267,NYSE.FLR
18.452601,30.422353,22.021394,29.103652,31.817534160488,99.9,268,NYSE.FLS
19.942474,30.706877,22.173799,27.17685,36.3328174923438,99.9,269,NYSE.FMC
16.903395,33.403848,19.431853,30.260905,32.4952378347494,99.9,270,NYSE.FRT
19.86541,30.067295,20.448632,29.618663,1.29599239943778,60,271,NYSE.FTI
18.701081,31.755498,22.316437,27.226985,70.6237397542754,99.9,272,NYSE.FTV
21.197372,29.22041,23.890647,25.691571,46.9288855673003,99.9,273,NYSE.GD
17.855288,31.010905,24.086896,27.04691,132.372467029705,99.9,274,NYSE.GE
